2, _, 2, 0, _, _, 1, 2, 1, 2, _, 2, 2, _, 1
2, _, 3, 1, 1, 2, _, 3, _, 2, 2, 4, _, _, 2
2, 2, 2, _, 1, 2, _, 4, 2, 1, 2, _, _, 4, _
_, 1, 1, 1, 1, _, 3, _, 2, 1, 2, _, 4, 4, 2
1, 1, 0, _, 1, 3, _, 4, _, 1, 1, 2, _, 2, _
1, 1, 0, 1, _, 4, _, 4, 1, 2, 1, 2, _, 2, 1
_, 2, 1, 2, 1, _, _, 2, 0, 1, _, 1, 1, 1, 1
1, 3, _, _, 1, 2, 2, 1, 0, 1, 1, 1, 1, _, 1
0, _, _, 2, 1, _, 1, 0, 1, _, 2, 1, 2, 1, 1
_, 2, 2, 1, 1, 1, 1, 0, 1, _, 2, _, 2, _, 1
1, _, 1, _, _, _, 1, 1, 1, _, 3, _, _, 3, _
3, _, 2, 0, 0, 1, _, 1, 0, 0, 1, _, _, 4, _
_, _, 1, 0, 1, 2, 2, 2, 1, 1, 1, 2, 4, _, 2
2, 2, 1, 1, 2, _, _, 1, _, 2, 2, 2, 3, _, 2
0, _, 0, 1, _, 2, _, 1, 1, 2, _, _, 2, 1, 1
