T, 0, T, T, 2, T, 1, 0, 0, 0, 1, T, 1, 0, 0, 0, T, 0, 0, 0
1, 1, 2, 2, 3, 2, 2, 1, 1, 1, 2, 1, 1, 0, 0, 0, 0, 1, 1, 1
T, T, 1, T, 2, T, T, 1, 2, T, 2, T, 0, 0, 0, 0, 0, 1, T, 1
2, 2, 2, 1, 2, T, 3, T, 2, T, 2, 0, 1, 1, 2, 1, 1, 2, 2, 2
1, T, 2, 1, T, 2, T, 1, 1, 1, 1, 0, 1, T, 2, T, 1, 1, T, 1
1, 3, T, 2, 0, 1, 1, 1, 0, 0, 0, 0, T, 1, 2, 1, 1, 1, 1, 1
0, 2, T, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, T, 0, 0, 0, T, 0
1, 2, 2, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 1, 1, 0, 0, 0
1, T, 1, 0, 0, 1, T, 1, 1, T, 2, T, 1, 0, 1, T, 2, T, 1, 1
1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, T, 1, 2, T, 1, 1, T
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 3, 2, 2, 1, T
1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 2, T, 1, T, T, 2, T, 2, 1, 1
2, T, 2, 1, 1, T, 1, 1, 2, T, 2, 2, 2, 2, 1, 2, 2, 3, T, 1
T, 4, T, 2, T, 2, 1, 1, T, 3, 2, 1, T, 1, T, 1, 2, T, 2, 1
3, T, 3, 2, T, 1, 0, 1, 2, T, 2, 2, 2, 1, 1, T, 3, 2, 3, 1
T, T, 2, 1, 1, 2, 1, 1, 1, 1, 2, T, T, 0, 1, 1, 3, T, 3, T
1, 2, 2, 2, 1, 2, T, 2, 1, 1, 1, 1, 2, 1, 1, 0, 2, T, 3, 1
1, 2, T, 2, T, 2, 1, 2, T, 1, 0, T, 1, T, 2, 1, 2, 1, 1, 0
T, 2, 2, 3, 2, T, 0, 1, 1, 1, 0, 0, 1, 1, 2, T, 1, 0, 0, 0
1, 1, 1, T, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0
